from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer
Framingham,Framingham,2,0,0,0,0,1
70048,70047,2,171,111,183,60,1
70047,70048,2,171,111,190,60,1
70157,70156,2,193,73,167,120,1
70156,70157,2,195,75,165,120,1
70093,70094,3,,,,,
70093,70261,2,185,95,115,90,1
70261,70094,2,146,56,95,90,1
Back Bay,70014,2,287,167,272,120,1
Back Bay,70015,2,287,167,272,120,1
Back Bay,176,2,286,166,272,120,1
Back Bay,11384,2,270,150,229,120,1
Back Bay,23391,2,297,177,225,120,1
70014,Back Bay,2,371,131,229,240,1
70015,Back Bay,2,371,131,229,240,1
176,Back Bay,2,448,148,236,300,1
11384,Back Bay,2,415,115,193,300,1
23391,Back Bay,2,437,137,188,300,1
70014,70015,2,76,16,21,60,1
70015,70014,2,76,16,21,60,1
Braintree,70105,2,391,271,354,120,1
Braintree,38671,2,367,247,332,120,1
70105,Braintree,2,518,278,343,240,1
38671,Braintree,2,558,258,337,300,1
70063,70064,2,68,8,10,60,1
70064,70063,2,68,8,10,60,1
70077,70020,2,184,124,,60,2
70078,70020,2,178,118,,60,2
70021,70020,2,175,115,,60,2
70020,70077,2,182,122,,60,2
70020,70078,2,180,120,,60,2
70020,70021,2,180,120,,60,2
70077,70021,2,164,104,257,60,1
70078,70021,2,159,99,266,60,1
70021,70077,2,181,121,283,60,1
70021,70078,2,153,93,283,60,1
70078,70077,2,212,152,196,60,1
70077,70078,2,214,154,186,60,1
Forest Hills,70001,2,282,162,276,120,1
Forest Hills,875,2,295,175,305,120,1
Forest Hills,10642,2,298,178,270,120,1
70001,Forest Hills,2,409,169,287,240,1
875,Forest Hills,2,480,180,305,300,1
10642,Forest Hills,2,474,174,270,300,1
70039,70201,2,161,71,100,90,1
70039,70202,2,147,57,126,90,1
70201,70039,2,125,35,74,90,1
70202,70039,2,110,20,100,90,1
70040,70201,2,161,71,100,90,1
70040,70202,2,147,57,126,90,1
70201,70040,2,125,35,74,90,1
70202,70040,2,110,20,100,90,1
70039,70040,2,75,15,19,60,1
70040,70039,2,75,15,19,60,1
70201,70202,2,168,48,63,120,1
70202,70201,2,168,48,63,120,1
70024,70025,2,156,96,189,60,1
70024,70203,2,195,105,103,90,1
70024,70204,2,195,105,103,90,1
70025,70024,2,156,96,189,60,1
70203,70024,2,222,132,138,90,1
70204,70024,2,222,132,138,90,1
70025,70203,2,199,109,137,90,1
70025,70204,2,199,109,137,90,1
70203,70025,2,227,137,159,90,1
70204,70025,2,227,137,159,90,1
70153,70152,2,176,56,,120,2
70152,70153,2,168,48,,120,2
JFK/UMASS,70085,2,279,159,350,120,1
JFK/UMASS,70086,2,279,159,350,120,1
JFK/UMASS,70095,2,279,159,350,120,1
JFK/UMASS,70096,2,279,159,350,120,1
JFK/UMASS,121,2,214,94,121,120,1
70085,JFK/UMASS,2,394,154,331,240,1
70086,JFK/UMASS,2,394,154,331,240,1
70095,JFK/UMASS,2,394,154,331,240,1
70096,JFK/UMASS,2,394,154,331,240,1
121,JFK/UMASS,2,394,94,121,300,1
70085,70086,2,76,16,21,60,1
70086,70085,2,76,16,21,60,1
70095,70096,2,76,16,21,60,1
70096,70095,2,76,16,21,60,1
70085,70095,2,118,58,122,60,1
70085,70096,2,118,58,122,60,1
70086,70095,2,118,58,122,60,1
70086,70096,2,118,58,122,60,1
70095,70085,2,118,58,122,60,1
70095,70086,2,118,58,122,60,1
70096,70085,2,118,58,122,60,1
70096,70086,2,118,58,122,60,1
